City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
467,Voineasa,RO,44.2833,24.1333,37.62,87,0,2.3,clear sky
468,Taltal,CL,-25.4,-70.4833,63.19,74,100,1.92,overcast clouds
469,Rawson,AR,-43.3002,-65.1023,57.49,88,40,4.61,scattered clouds
470,Znamenskoye,RU,57.1281,73.8282,18.81,88,100,10.69,overcast clouds
471,Bafoulabe,ML,13.8065,-10.8321,80.58,16,19,2.75,few clouds
472,Bannu,PK,32.9854,70.6027,60.35,19,0,5.79,clear sky
473,Jacareacanga,BR,-6.2222,-57.7528,74.71,97,100,0.38,overcast clouds
474,Mabaruma,GY,8.2,-59.7833,74.44,92,100,2.8,overcast clouds
475,Quixada,BR,-4.9714,-39.0153,79.5,63,89,5.84,overcast clouds
476,Panjab,AF,34.388,67.0233,24.26,53,69,4.12,broken clouds
477,Shieli,KZ,44.1667,66.75,42.44,62,100,11.05,overcast clouds
478,Araci,BR,-11.3333,-38.9667,75.02,80,27,8.39,scattered clouds
479,Puiesti,RO,46.4167,27.5,29.08,81,10,6.33,clear sky
480,Vieste,IT,41.8825,16.175,53.33,69,100,5.64,overcast clouds
481,Aljezur,PT,37.3191,-8.8033,56.5,88,0,4.0,clear sky
482,Coruripe,BR,-10.1256,-36.1756,77.77,81,5,10.13,clear sky
483,Butzow,DE,53.85,11.9833,42.21,77,57,9.19,broken clouds
484,Andijon,UZ,40.7821,72.3442,38.48,40,35,5.37,scattered clouds
485,Lundazi,ZM,-12.2929,33.1782,73.09,51,97,8.61,overcast clouds
486,Acajutla,SV,13.5928,-89.8275,80.08,72,100,4.79,overcast clouds
487,Kilindoni,TZ,-7.9139,39.6668,80.29,74,100,11.07,overcast clouds
488,Kabinda,CD,-6.1333,24.4833,66.63,98,100,3.91,overcast clouds
489,Komatipoort,ZA,-25.4332,31.9548,68.05,98,100,2.08,light rain
490,Niamey,NE,13.5137,2.1098,79.09,19,0,5.75,clear sky
