City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Saint-Pierre,RE,2021-11-21 01:03:07,-21.3393,55.4781,74.84,60,20,6.91
143,Nanortalik,GL,2021-11-21 01:03:07,60.1432,-45.2371,36.43,98,100,6.35
144,Marsh Harbour,BS,2021-11-21 01:03:07,26.5412,-77.0636,76.19,80,100,23.04
145,Lebu,CL,2021-11-21 01:03:08,-37.6167,-73.65,53.19,92,14,17.67
146,Presidencia Roque Saenz Pena,AR,2021-11-21 01:03:08,-26.7852,-60.4388,68.02,57,99,6.08
147,Winsum,NL,2021-11-21 01:03:08,53.33,6.5208,49.98,96,100,11.36
148,Kosh-Agach,RU,2021-11-21 01:03:08,50.0,88.6667,-2.13,62,51,1.81
149,Bonga,ET,2021-11-21 01:03:09,7.2833,36.2333,56.86,83,78,2.21
150,Narsaq,GL,2021-11-21 01:03:09,60.9167,-46.05,34.02,99,100,3.29
151,Ancud,CL,2021-11-21 01:03:09,-41.8697,-73.8203,55.42,95,100,5.39
152,Salalah,OM,2021-11-21 01:03:09,17.0151,54.0924,73.49,64,0,5.75
153,Mar Del Plata,AR,2021-11-21 01:03:10,-38.0023,-57.5575,70.66,42,97,16.26
154,Oranjemund,NA,2021-11-21 01:03:10,-28.55,16.4333,59.76,93,42,4.92
155,Vila Franca Do Campo,PT,2021-11-21 01:03:10,37.7167,-25.4333,66.61,73,96,20.04
156,Oranjestad,AW,2021-11-21 01:03:11,12.524,-70.027,82.35,74,20,12.66
157,Kharp,RU,2021-11-21 01:03:11,66.8014,65.8081,9.75,96,100,5.28
158,Port Elizabeth,ZA,2021-11-21 01:03:11,-33.918,25.5701,65.1,81,100,14.9
159,Yokadouma,CM,2021-11-21 01:03:11,3.5167,15.05,69.04,96,80,2.1
160,Goderich,CA,2021-11-21 01:01:29,43.7501,-81.7165,38.91,74,100,19.17
161,Yeniseysk,RU,2021-11-21 01:03:12,58.4497,92.1703,10.92,94,100,7.27
162,Loukhi,RU,2021-11-21 01:03:12,66.0764,33.0381,27.95,88,74,9.19
163,Garowe,SO,2021-11-21 01:03:12,8.4054,48.4845,65.89,87,94,7.47
164,Parrita,CR,2021-11-21 01:03:12,9.5201,-84.3225,81.52,84,15,1.57
165,Ostrovnoy,RU,2021-11-21 01:03:13,68.0531,39.5131,28.31,88,100,2.73
166,Necochea,AR,2021-11-21 01:00:41,-38.5473,-58.7368,69.04,58,100,11.95
167,Shihezi,CN,2021-11-21 01:03:13,44.3,86.0333,19.71,69,1,2.66
168,Kuytun,RU,2021-11-21 01:03:13,54.3419,101.5036,-6.43,95,100,3.78
169,Talnakh,RU,2021-11-21 01:03:14,69.4865,88.3972,-21.08,94,19,9.28
170,Beira,MZ,2021-11-21 01:03:14,-19.8436,34.8389,76.46,86,46,10.83
171,Giddarbaha,IN,2021-11-21 01:03:14,30.2,74.6667,57.99,31,0,4.83
172,San Juan,AR,2021-11-21 01:03:14,-31.5375,-68.5364,85.46,22,21,5.77
173,Mkushi,ZM,2021-11-21 01:03:15,-13.6202,29.3939,68.59,75,90,5.86
174,Havelock,US,2021-11-21 01:03:15,34.8791,-76.9013,53.55,81,88,4.0
175,Hamilton,US,2021-11-21 00:58:21,39.1834,-84.5333,49.12,65,98,5.44
176,Iqaluit,CA,2021-11-21 01:01:17,63.7506,-68.5145,9.7,78,96,10.0
177,Morondava,MG,2021-11-21 01:03:15,-20.2833,44.2833,76.17,75,5,6.71
178,Diffa,NE,2021-11-21 01:03:16,13.3154,12.6113,75.94,27,0,10.22
179,Tucuma,BR,2021-11-21 01:01:38,-0.1833,-50.05,77.09,93,100,7.47
180,Sisimiut,GL,2021-11-21 01:03:16,66.9395,-53.6735,30.6,95,100,13.15
181,Gamba,GA,2021-11-21 01:03:15,-2.65,10.0,74.86,92,100,5.55
182,Jawhar,SO,2021-11-21 01:03:16,2.7809,45.5005,72.86,86,7,6.24
183,Berlevag,NO,2021-11-21 01:03:17,70.8578,29.0864,29.77,60,100,24.9
184,Ponta Do Sol,PT,2021-11-21 01:03:17,32.6667,-17.1,65.12,59,99,6.85
185,Victoria,HK,2021-11-21 01:04:01,22.2855,114.1577,75.96,81,18,5.99
186,Zapolyarnyy,RU,2021-11-21 01:04:17,69.4154,30.8136,27.68,75,99,17.09
187,Albany,US,2021-11-21 00:59:38,42.6001,-73.9662,40.23,59,100,4.99
188,Rio Grande,BR,2021-11-21 01:03:27,-32.035,-52.0986,66.7,76,0,13.15
189,Ali-Yurt,RU,2021-11-21 01:04:18,43.14,44.85,26.02,71,18,5.21
190,Olafsvik,IS,2021-11-21 01:04:18,64.8945,-23.7142,36.01,95,100,18.66
191,Saint-Georges,GD,2021-11-21 01:04:18,12.0564,-61.7485,79.3,76,100,11.12
192,Lasa,IT,2021-11-21 01:04:18,46.6166,10.7002,30.94,53,6,2.04
193,Port Blair,IN,2021-11-21 01:04:19,11.6667,92.75,82.33,81,16,11.36
194,Tres Arroyos,AR,2021-11-21 01:04:19,-38.3739,-60.2798,66.16,68,92,13.2
195,Quatre Cocos,MU,2021-11-21 01:04:19,-20.2078,57.7625,76.08,73,2,5.86
196,Gardez,AF,2021-11-21 01:04:19,33.5974,69.2259,31.37,43,0,2.33
197,Bolotnoye,RU,2021-11-21 01:04:20,55.6717,84.3981,14.65,84,100,12.53
198,Coruripe,BR,2021-11-21 01:01:37,-10.1256,-36.1756,78.55,79,2,13.94
199,Puerto Baquerizo Moreno,EC,2021-11-21 01:04:20,-0.9,-89.6,69.35,82,77,11.59
200,Betlitsa,RU,2021-11-21 01:04:20,54.0095,33.9588,35.55,84,100,11.88
201,Lagos,NG,2021-11-21 01:00:01,6.5833,3.75,77.16,93,54,2.98
202,Sechura,PE,2021-11-21 01:04:20,-5.5569,-80.8222,65.91,78,90,14.79
203,Novaya Malykla,RU,2021-11-21 01:04:21,54.2,49.95,34.43,99,100,15.23
204,Khatanga,RU,2021-11-21 01:00:47,71.9667,102.5,-18.67,99,100,4.56
205,Boa Vista,BR,2021-11-21 01:04:21,2.8197,-60.6733,80.58,78,40,2.3
206,Castro,BR,2021-11-21 01:04:21,-24.7911,-50.0119,56.95,97,6,7.14
207,Parabel,RU,2021-11-21 01:04:22,58.6978,81.4825,20.12,85,100,12.24
208,Zaozerne,UA,2021-11-21 01:04:22,45.1582,33.2787,51.94,72,17,11.07
209,Sambava,MG,2021-11-21 01:04:22,-14.2667,50.1667,74.53,80,48,4.76
